Title,Film,Year,Singer,Composer,Lyricist,Lyrics
tere mere biich men kaisaa hai ye bandhan anjaanaa,ek duje ke liye,1981,lata s p balasubramaniam  s p balasubramaniam,laxmikantpyarelal,anand bakshi, lataa o tere mere biich men	 lataa o tere mere biich men	kaisaa hai yah bandhan anjaanaa	kaisaa hai yah bandhan anjaanaa	kaisaa hai yah bandhan anjaanaa	mainne nahiin jaanaa tuune nahiin jaanaa	mainne nahiin jaanaa tuune nahiin jaanaa	tere mere biich men	ek dor khiinche duujaa daudaa chalaa aae	ek dor khiinche duujaa daudaa chalaa aae	kachche dhaage men bandhaa chalaa aae aise jaise koii	aise jaise koii diivaanaa	aise jaise koii diivaanaa	mainne nahiin jaanaa tuune nahiin jaanaa tere mere biich men	es pii ho ho aapadiyaa	lataa haa haa jaise sab samajh gayaa	pahanuungii main tere haathon se kanganaa	pahanuungii main tere haathon se kanganaa	jaaegii merii dolii tere hii anganaa chaahe kuchh kar le	chaahe kuchh kar le zamaanaa	chaahe kuchh kar le zamaanaa	mainne nahiin jaanaa tuune nahiin jaanaa tere mere biich men	es pii nii rombaa adagaa irukke	lataa rambaa ye rambaamambaa kyaa hai	itanii zubaanen bolen log hamajolii	itanii zubaanen bolen log hamajolii	duniyaa men pyaar kii ek hai bolii bole jo shamaa	bole jo shamaa parvaanaa	bole jo shamaa parvaanaa	mainne nahiin jaanaa tuune nahiin jaanaa	es pii paravaa illaye nallaa paadaraa	lataa kyaa	kaisaa hai yah bandhan anjaanaa mainne nahiin jaanaa tuune nahiin jaanaa tere mere biich men	tere mere biich men kaisaa hai ye bandhan anjaanaa main ne nahiin jaanaa tuu ne nahiin jaanaa	ek dor khiinche duujaa daudaa chalaa aae	ek dor khiinche duujaa daudaa chalaa aae	kachche dhaage men bandhaa chalaa aae aise jaise koii	aise jaise koii diivaanaa	aise jaise koii diivaanaa	mainne nahiin jaanaa tuune nahiin jaanaa tere mere biich men	niind na aaye mujhe chain na aaye laakh jatan kar rok na paaye sapanon men teraa o sapnon men teraa aanaa jaanaa main ne nahiin jaanaa tuu ne nahiin jaanaa tere mere biich men	
ye ladakii zaraa sii diivaanii lagatii hai,love story,1981,lata amit kumar,r d burman,, main akelaa raat kaa melaa tuu kahaan se aaii aise men tuu bhhul ke rastaa mujh se aa takaraaii	ye ladakii zaraa sii diivaanii lagatii hai mujhe to ye gudiyaa japaanii lagatii hai	chaabhii se ye chale chaabhii se ye ruke chaabhii se ye hanse ruuth jaaye aisii naazuk hai ye galatii se ise koii chhule to ye tuut jaaye kaanch kii hai gudiyaa aafat kii hai pudiyaa kisii shaitaan kii naanii lagatii hai ye ladakii zaraa sii	ham akelaa raat kaa melaa tuu kahaan se aayaa aise men tuu bhuul ke rastaa ham se aa takaraayaa	aate jaate hue raste pe khade bade dekhe aise diivaane	aisaa kyaa jahaan pe bhii koii achchhii suurat akhii vahiin ruke kisii bahaane aise hiiro ban ke gaa rahaa hai koii kisii naye film kaa gaanaa lagataa hai ye ladakaa zaraa saa diivaanaa lagataa hai gaadii kaa koii mcdal puraanaa lagataa hai ye ladakaa zaraa saa	
aa jaao aa jaao naagaraajaa tum aa jaao,maqsad,1984,kishor,bappi lahiri,indivar, aa jaao aa jaao naagaraajaa tum aa jaao	 aa jaao aa jaao naagaraajaa tum aa jaao	hazaaron phan phunphakaaren aao bharate hunkaaren kanth shankar kaa chhodo re aaj vishnu ko jagaa do gagan paataal hilaa do aaj pralay machaa do re aa jaao aa jaao naagaraajaa	kaalaruup vikaraal ruup bhuuchaal machaate aao taxak ho tum raxak ho tum axak ban ke dikhaao	kaalaruup vikaraal ruup bhuuchaal machaate aao taxak ho tum raxak ho tum axak ban ke dikhaao	zahar se zahar maregaa naa paapii koii bachegaa karegaa so bharegaa re bano tum vish kii jvaalaa ho durjan kaa munh kaalaa sajjan kaa raxak karo re aa jaao aa jaao naagaraajaa	tum anaath dole dig digant har saans men ik tuufaan hai tum bhujang chale maut sang tum jahaan ho jiit vahaan hai farebii drishti darinde badhaakar apane panje hamako nigalane khade saty kii jiit karaa do dharam kaa diip jalaa do dharatii kaa bojh hataa do aa jaao aa jaao naagaraajaa	
manachalii o manachalii  kaun sii hai ye galii,barsaat ki ek raat,1981,kishore lata,r d burman,anand bakshi,	manachalii o manachalii ho manachalii ho arii aa merii chulabulii arii o merii manachalii	ai manachalii ho manachalii kaun sii hai ye galii	ai manachalii ho manachalii kaun sii hai ye galii	ye vo galii hai yahaan ik baar jo aayaa laut na paayaa tuu yahaan se bach ke nikal jaae to qismat hai terii haayhaay manachalii o manachalii	raaz ye raaz bataane kaa nahiin hai aane kaa raastaa jaane kaa nahiin hai are aisaa lage hai koii bhuulbhulaiiyaan thaam le bainyaa main jo kahiin kho gayaa tuu bhii kho jaaegii ho manachalii o manachalii	are aa gayaa to aa gayaa ab jaauun kahaan main sar pe qafan baandh ke aayaa huun yahaan main	are aa gayaa to aa gayaa ab jaauun kahaan main sar pe qafan baandh ke aayaa huun yahaan main	chhode de ye zid hai burii sun mere raajaa hosh men aa jaa ki aa gayaa dil to gayaa jaan bachaa le aage hai terii marzii ai he manachalii o manachalii	ab yahaan se merii kabar jaae to jaae phir bhii nikal jaauungaa main pankh lagaa ke mast havaa ke dekhanaa tuu dekhatii rah jaaegii duniyaa saarii manachalii o manachalii	
gorii ho kaalii ho yaa nakharevaalii ho,biwi o biwi,1981,kishore,r d burman,nida fazli, gorii ho kaalii ho yaa nakharevaalii ho kaisii bhii dulhan dilaa de haathon men tere sabakii hai dorii apanaa bhii chakkar chalaa de	gorii ho kaalii ho	baajaa bajegaa shaadii rachegii ghhuunghat men gorii hansegii tuune sabhii kaa jodaa banaayaa apanaa bhii taankaa bhidaa de gorii ho kaalii ho	jiivan kii gaadii do pahiyon vaalii ghar ko chalaaye ghar vaalii hai duur manzil bechain hai dil gaadii ko dhakkaa lagaa de gorii ho kaalii ho	bambaii kaa jaaduu kaisaa hai nyaaraa koii rahe na kunvaaraa aramaan saare ho jaaye puure jaldii se dulhaa banaa de gorii ho kaalii ho	
chand rozaa zindagii hai,subah,1984,lata,hridaynath mangeshkar,narendra sharma, chand rozaa zindagii hai chaar din hain chaandanii ke aao	ham tum milake chheden taar dil kii raaginii ke	saaz tum aavaaz huun main raaz tum andaaz huun main giitikaa ho yaa gazal ho naam hain ik naazaniin ke	shaam hogii shab dhalegii shammaa har rang men jalegii saat sur sangiit ke hain saat rang hain roshanii ke	pyaase lab aur chashm purnam donon hamadam sholaa shabanam taal sur lay kii sajaavat jaise gesuu naubanii ke
dayaaredil kii raat men charaag saa jalaa gayaa,merajeghazal nonfilm,1983,ghulam ali asha,ghulam ali,nasir kazmi,	dayaaredil kii raat men charaag saa jalaa gayaa milaa nahiin to kyaa huaa wo shaql to dikhaa gayaa	wo dostii to kair ab nasiibedushmanaan huii wo chhotii chhotii ranjishon kaa lutf bhii chalaa gayaa	judaaiyon ke zakm dardezindagii ne bhar diye tujhe bhii niind aa gaii mujhe bhii sabr aa gayaa	pukaaratii hain fursaten kahaan gaiin wo sohabaten zamiin nigal gaii unhen yaa aasamaan khaa gayaa	ye subaho kii safediyaan ye dopahar kii zardiyaan ab aaiine men dekhataa huun main kahaan chalaa gayaa	ye kis kushii kii ret par gamon ko niind aa gaii wo lahar kis taraf gaii ye main kahaan chalaa gayaa	gae dinon kii laash par pade rahoge kab talak alamkasho utho ki aafataab sar pe aa gayaa	
kahiin sheronagmaa ban ke,nonfilm,1986,talat mahmood,talat mahmood,khumar barabankvi, kahiin sheronagmaa ban ke kahiin aansuon men dhal ke wo mujhe mile to lekin mile suuraten badal ke	ye wafaa kii sakht raahen ye tumhaare paaenaazuk na lo intaqaam mujhase mere saath saath chal ke	ye chiraageanjuman to hain ek shab ke mehamaan tuu jalaa wo shammaa ai dil jo bujhe kabhii na jal ke	na to hosh se taarruf na junuun se aashanaaii ye kahaan pahunch gaye ham terii bazm se nikal ke
arii o pottii  khaatuun kii khidamat men salaam apun kaa,desh premi,1982,kishor asha,laxmikantpyarelal,anand bakshi,	ki	arii o pottii kahaan chalii	palat merii anaar kii kalii aa	badatamiiz	taane diin	tanadaanaa 3	tanadaanaa 3	tanadaanaa 3	khaatuun kii khidamat men salaam apun kaa	khaatuun kii khidamat men salaam apun kaa	ajii pottii pataanaa hai	ajii pottii pataanaa hai	pottii pataanaa hai ajii pottii pataanaa hai faqat kaam apun kaa gharbaar huaa ishq men niilaam apun kaa khaatuun kii khidamat	baataan nahiin karate ham haidaraabaadii	baataan nahiin karate ham haidaraabaadii	haathaan men tere joo menhadii na lagaa dii to naam nahiin lenge	kabhii apane vatan kaa	kabhii apane vatan kaa	khaatuun kii khidamat	gulabadan khaadim ke haathaan se munh men daal ko chabaaenge kyaa paan ye paanaa men mere kaleje ke tuukade supaarii kii jagah rakh ko chabarchabar ke chabar jaa mar mitane men jaanam ham logaan hain maahir	gulabadan khaadim ke haathaan se munh men daal ko chabaaenge kyaa paan ye paanaa men mere kaleje ke tuukade supaarii kii jagah rakh ko chabarchabar ke chabar jaa mar mitane men jaanam ham logaan hain maahir	ghus kar tere dil men nikalenge na baahir	ghus kar tere dil men nikalenge na baahir	kharchaa ho qafan kaa na	charchaa ho dafan kaa	charchaa ho dafan kaa	khaatuun kii khidamat	
o babuaa yah mahuaa,sadmaa,1983,asha,ilaiyaraja,gulzar, o babuaa yah mahuaa mahakane lagaa hai aa mere saans jalate hain badan men saanp chalate hain tere binaa	ta raa raa ta ra raa ta ra raa	shaam sulagatii hai jab bhii teraa kayaal aata hai suunii sii gorii baahon men dhunaa saa bhar jaata hai barfiilaa raastaa katataa nahiin zahariilaa chaand bhii hatataa nahiin tere binaa	khoyii huii sii aankhon se chaadar utar jaatii hai jhulasii huii rah jaatii huun raat guzar jaatii hai aise men tum kabhii dekho agar kaataa hai kis tarah shab kaa safar tere binaa	o babuaa yah mahuaa mahakane lagaa hai 
