Title,Film,Year,Singer,Composer,Lyricist,Lyrics
priit jagaa ke miit banaa ke bhuul na jaanaa,hulchul,1951,rafi lata,mohammed shafi,khumar barabankwi,	la	priit jagaa ke miit banaa ke bhuul na jaanaa ra	suno jii bhuul naa jaanaa	priit jagaa ke miit banaa ke bhuul na jaanaa la	suno jii bhuul naa jaanaa	ra	ho samaan hai pyaar kaa rut hai suhaanii la	dulhan banii hai raat kii raanii	dulhan banii hai raat kii raanii	ra	jiivan biinaa jab tak baaje ho yuun hii hilamil gaanaa la	suno jii bhuul naa jaanaa	phuul na kumhalaa jaae khil ke	phuul na kumhalaa jaae khil ke	ra	ho naa judaa	aapas men mil ke	aapas men mil ke	la	dhadakan ban ke dil men rahanaa aankhon men bas jaanaa ra	suno jii bhuul naa jaanaa	ra	aa badal naa jaanaa jag ke dar se la	bane hain saathii jiivan bhar ke	bane hain saathii jiivan bhar ke	ra	priit kii dushman hai ye duniyaa ho duniyaa ko thukaraanaa la	suno jii bhuul naa jaanaa do	priit jagaa ke	
baabuujii dhiire chalanaa pyaar men zaraa sanbhalanaa,aar paar,1954,geeta,o p nayyar,majrooh, baabuujii dhiire chalanaa pyaar men zaraa sambhalanaa haan bade dhokhe hain bade dhokhe hain is raah men baabuujii	kyuun ho khoye huye sar jhukaaye jaise jaate ho sab kuchh lutaaye ye to baabuujii pahalaa kadam hai nazar aate hain apane paraaye haan bade dhokhe hain	ye muhabbat hai o bholebhaale kar na dil ko gamon ke havaale kaam ulafat kaa naazuk bahut hai aake honthon pe tuutenge pyaale haan bade dhokhe hain	ho gayii hai kisii se jo anaban thaam le duusaraa koi daaman zindagaanii ki raahen ajab hain ho akelaa hai to laakhon hain dushman haan bade dhokhe hain 
rut phire par din hamaare,pyaasa,1957,geeta,s d burman,sahir, rut phire par din hamaare phire naa phire naa phire naa rut phire par din hamaare	dharti pe rang chhaayaa duniyaa ke bhaag jaage lekin vahii andheraa ab tak hai apane aage2	rut phire par din hamaare	pahunchii naa apanii naiyyaaab tak kisii kinaare2	koii nahiin jo hamako apanii taraf pukaare is paar kuchh nahiin hai us paar kuchh nahiin hai apane liye sivaae majhadhaar kuchh nahiin hai2	rut phire par din hamaare	
chaand phir nikalaa magar tum na aaye,paying guest,1957,lata,s d burman,majrooh, chaand phir nikalaa magar tum na aaye jalaa phir meraa dil karun kyaa main haay chaand phir nikalaa	ye raat kahatii hai vo din gaye tere	ye jaanataa hai dil ke tum nahiin mere	ye jaanataa hai dil ke tum nahiin mere	khadii main huun phir bhii nigaahen bichhaaye main kyaa karuun haay ke tum yaad aaye chaand phir nikalaa	sulagate siine se dhunaa saa uthataa hai lo ab chale aao ke dam ghutataa hain	sulagate siine se dhunaa saa uthataa hai lo ab chale aao ke dam ghutataa hain	jalaa gaye tan ko bahaaron ke saaye main kyaa karun haay ke tum yaad aaye chaand phir nikalaa 
naarangii le lo jii koii naarangii le lo,bahut din huye,1954,female,b s kalla,pt indra,	naarangii le lo jii koii naarangii le lo khattii le lo miithii le lo aur le lo rasadaar isakii kaliikalii men bhar laayii main dil kaa pyaar	naa dekho saiyaan meraa rang	naa dekho saiyaan meraa rang	naarangii dekho dekho ye naarangii dekho aa jaaye dil men jo tarang to naarangii dekho dekho ye naarangii dekho jii	vaah vaah 
shamaa pe aake o paravaane,meenar,1954,asha chorus,c ramchandra,rajinder krishan, printitle	aa shamaa pe aake o paravaane	jal ko jal aa jal ko jal jal jal jal aa pyaar ke raste hansate hansate	chal ko chal aa chal ko chal chal chal chal	aa pankh jalenge kaak banegii	jalake muhabbat paak banegii	soch na muurakh biit rahaa hai	pal ko pal aa pal ko pal pal pal pal	aa mahafil kaa yuun rang jamaa de	tan ko apane aag lagaa de	terii raak se shammaa banegii	kal ko kal aa kal ko kal kal kal kal	aa thodii sii ab raat hai baakii	shiishen khaalii so gayaa saakii	pyaar kii gaafil apanii ankhiyaan	mal ko mal aa mal ko mal mal mal mal 
bade armaanon se rakhaa hai balam terii kasam,malhaar,1951,mukesh lata,roshan,indeevar, bade armaanon se rakhaa hai balam terii kasam o balam terii kasam pyaar kii duniyaa men ye pahalaa kadam ho pahalaa kadam judaa na kar sakenge hamako zamaane ke sitam ho zamaane ke sitam pyaar kii duniyaa men ye pahalaa kadam ho pahalaa kadam	le uthaa pyaar bhii angadaaii hai dil bhii jahaan ajii aise men lie jaate ho tum bolo kahaan duur duniyaa kii nigaahon se kahiin jaaenge ham pyaar kii duniyaa men ye pahalaa kadam ho pahalaa kadam	terii do aankhon men dikahte hain mujhe donon jahaan inhii men kho gayaa dil meraa kaho dhuundhuun kahaan chaand ghatataa ho ghate apanii mohabbat na ho kam pyaar kii duniyaa men ye pahalaa kadam ho pahalaa kadam	merii naiyaa ko kinaare kaa intazaar nahiin teraa aanchal ho to patavaar bhii darakaar nahiin tere hote hue kyon ho mujhe tuufaan kaa gam pyaar kii duniyaa men ye pahalaa kadam ho pahalaa kadam	
